index|datetime|datetime_friendly|prop28|prop31|prop16|prop8|event91|event92_x|event92_y|event16
0|2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|::unspecified::|healthDataUpdates|89.0|38.0|38.0|6.0
1|2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|::unspecified::|rewards|10.0|7.0|7.0|1.0
2|2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|::unspecified::|::unspecified::|8.0|0.0|0.0|0.0
3|2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|"Combate à COVID-19|none|Neste momento da pandemia, a colaboração individual e coletiva é essenci"|none|17.0|11.0|11.0|0.0
4|2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|"Take the First Step|none|This challenge ends soon. Make sure you track!"|challengeEnding|3.0|1.0|1.0|0.0
5|2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|"Walk at Lunch Day Challenge has now started.|none|Start Tracking!"|challenges|1.0|0.0|0.0|0.0
6|2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|"Walk at Lunch Day Challenge|none|This challenge ends soon. Make sure you track!"|challengeEnding|1.0|0.0|0.0|0.0
7|2021-04-28|Wed. 28 Apr. 2021|::unspecified::|::unspecified::|::unspecified::|healthDataUpdates|8.0|3.0|3.0|0.0
8|2021-04-28|Wed. 28 Apr. 2021|::unspecified::|::unspecified::|"Combate à COVID-19|none|Neste momento da pandemia, a colaboração individual e coletiva é essenci"|none|1.0|1.0|1.0|0.0
9|2021-04-28|Wed. 28 Apr. 2021|7985e0de-ec51-428c-ae66-64756aac1cab|iOS|"title EN-US||body EN-US"|insights|69.0|0.0|0.0|9.0
10|2021-04-28|Wed. 28 Apr. 2021|7985e0de-ec51-428c-ae66-64756aac1cab|iOS|::unspecified::|rewards|4.0|0.0|0.0|0.0
11|2021-04-28|Wed. 28 Apr. 2021|7985e0de-ec51-428c-ae66-64756aac1cab|iOS|"Way to go!||Find out what you just earned for completing a healthy activity"|rewards|2.0|0.0|0.0|0.0
12|2021-04-28|Wed. 28 Apr. 2021|fe03fc7b-cc47-4b2a-9c5e-8a6fdeb37ec2|iOS|"Congratulations!||See what you just earned."|insights|27.0|0.0|0.0|5.0
13|2021-04-28|Wed. 28 Apr. 2021|fe03fc7b-cc47-4b2a-9c5e-8a6fdeb37ec2|iOS|"Hi||EN click it"|dailyReminder|1.0|0.0|0.0|1.0
14|2021-04-28|Wed. 28 Apr. 2021|0fc8371f-66f5-464e-9d5f-6a12892e8561|Android|"Congratulations!|none|See what you just earned."|insights|17.0|3.0|3.0|5.0
15|2021-04-28|Wed. 28 Apr. 2021|c7fe9acf-ba48-4dd3-a33a-5958bea1f8eb|Android|::unspecified::|rewards|8.0|0.0|0.0|0.0
16|2021-04-28|Wed. 28 Apr. 2021|c7fe9acf-ba48-4dd3-a33a-5958bea1f8eb|Android|::unspecified::|healthDataUpdates|1.0|0.0|0.0|0.0
17|2021-04-28|Wed. 28 Apr. 2021|e205aef8-7cd6-49cc-839e-d6907bac9822|Android|::unspecified::|rewards|6.0|0.0|0.0|0.0
18|2021-04-28|Wed. 28 Apr. 2021|82bea524-b26a-43d4-95b9-f9326d892280|Android|"Congratulations!|none|See what you just earned."|insights|5.0|4.0|4.0|0.0
19|2021-04-28|Wed. 28 Apr. 2021|b13e2901-bdad-45d9-aa0b-f7b3e11dc4cb|Android|::unspecified::|rewards|5.0|0.0|0.0|0.0
20|2021-04-28|Wed. 28 Apr. 2021|6f693d7c-a93c-43fe-b54c-f5cf58a77d05|Android|::unspecified::|rewards|5.0|0.0|0.0|0.0
21|2021-04-28|Wed. 28 Apr. 2021|be4c0175-9143-4899-afad-816a045c3405|Android|::unspecified::|rewards|3.0|0.0|0.0|0.0
22|2021-04-28|Wed. 28 Apr. 2021|be4c0175-9143-4899-afad-816a045c3405|Android|::unspecified::|healthDataUpdates|1.0|1.0|1.0|0.0
23|2021-04-28|Wed. 28 Apr. 2021|be4c0175-9143-4899-afad-816a045c3405|Android|"Take the First Step has now started.|none|Start Tracking!"|challenges|1.0|1.0|1.0|0.0
24|2021-04-28|Wed. 28 Apr. 2021|8966edc1-005c-4ec5-bb07-bdd5b8949047|Android|::unspecified::|rewards|4.0|0.0|0.0|0.0
25|2021-04-28|Wed. 28 Apr. 2021|OIAM_7e96ce1f-3f73-4530-bcd0-958ccd22d87d|Android|::unspecified::|rewards|2.0|1.0|1.0|0.0
26|2021-04-28|Wed. 28 Apr. 2021|OIAM_7e96ce1f-3f73-4530-bcd0-958ccd22d87d|Android|::unspecified::|healthDataUpdates|1.0|1.0|1.0|0.0
27|2021-04-28|Wed. 28 Apr. 2021|ec716228-5ead-400a-8a34-69f6e0cd4ba7|Android|::unspecified::|rewards|2.0|1.0|1.0|0.0
28|2021-04-28|Wed. 28 Apr. 2021|ec716228-5ead-400a-8a34-69f6e0cd4ba7|Android|::unspecified::|healthDataUpdates|1.0|1.0|1.0|0.0
29|2021-04-28|Wed. 28 Apr. 2021|0d12b522-80ce-425b-9d08-c9429b3871c2|iOS|"Congratulations!||See what you just earned."|insights|2.0|0.0|0.0|0.0
30|2021-04-28|Wed. 28 Apr. 2021|0d12b522-80ce-425b-9d08-c9429b3871c2|iOS|"Hi||EN click it"|insights|1.0|0.0|0.0|0.0
31|2021-04-28|Wed. 28 Apr. 2021|4f272125-ca5b-4fc6-ab10-864e228e6d6b|iOS|"Congratulations!||See what you just earned."|insights|3.0|0.0|0.0|6.0
32|2021-04-28|Wed. 28 Apr. 2021|cad62e47-4a07-4792-ae4a-6d205bcbb033|Android|::unspecified::|rewards|3.0|0.0|0.0|0.0
33|2021-04-28|Wed. 28 Apr. 2021|01e50382-9d8f-40df-b3d7-dddb044c58df|Android|::unspecified::|rewards|3.0|0.0|0.0|0.0
34|2021-04-28|Wed. 28 Apr. 2021|b655a68e-f761-4abe-9875-7c3985bab704|Android|::unspecified::|rewards|3.0|0.0|0.0|0.0
35|2021-04-28|Wed. 28 Apr. 2021|cd1a50bc-3d7b-4555-ad44-867f800b2064|Android|::unspecified::|rewards|2.0|1.0|1.0|0.0
36|2021-04-28|Wed. 28 Apr. 2021|cd1a50bc-3d7b-4555-ad44-867f800b2064|Android|::unspecified::|healthDataUpdates|1.0|1.0|1.0|0.0
37|2021-04-28|Wed. 28 Apr. 2021|6d35437f-4100-4b1a-bc4c-29a2d789cd9a|Android|"This Will Lower Your Cholesterol Naturally|none|Push 1"|none|1.0|0.0|0.0|0.0
38|2021-04-28|Wed. 28 Apr. 2021|6d35437f-4100-4b1a-bc4c-29a2d789cd9a|Android|"1|none|1"|none|1.0|0.0|0.0|0.0
39|2021-04-28|Wed. 28 Apr. 2021|6d35437f-4100-4b1a-bc4c-29a2d789cd9a|Android|"sanity test|none|US staging only"|none|1.0|0.0|0.0|0.0
40|2021-04-28|Wed. 28 Apr. 2021|274df3e3-d371-4b17-96a0-ec9a09eba1e4|iOS|::unspecified::|rewards|3.0|0.0|0.0|0.0
41|2021-04-28|Wed. 28 Apr. 2021|824922a3-1067-43a9-9d7a-021f9cdd301f|Android|::unspecified::|rewards|1.0|0.0|0.0|0.0
42|2021-04-28|Wed. 28 Apr. 2021|824922a3-1067-43a9-9d7a-021f9cdd301f|Android|::unspecified::|healthDataUpdates|1.0|0.0|0.0|0.0
43|2021-04-28|Wed. 28 Apr. 2021|99a98a7b-e6b0-4ff3-ba6a-c5f971dcfd44|Android|::unspecified::|rewards|2.0|1.0|1.0|0.0
44|2021-04-28|Wed. 28 Apr. 2021|218f803b-d23f-447d-ac0c-9ec3b95a3d3b|Android|::unspecified::|rewards|2.0|0.0|0.0|0.0
45|2021-04-28|Wed. 28 Apr. 2021|62ce8367-e0a1-4605-81bc-fd0764a7d078|Android|::unspecified::|rewards|2.0|0.0|0.0|0.0
46|2021-04-28|Wed. 28 Apr. 2021|OIAM_fbb562d5-65d3-4257-b764-2c17cde97259|Android|::unspecified::|rewards|2.0|0.0|0.0|0.0
47|2021-04-28|Wed. 28 Apr. 2021|42cb9a79-cdf1-4632-9c08-b00394cf26ad|Android|"Walk at Lunch Day Challenge has now started.|none|Start Tracking!"|challenges|1.0|0.0|0.0|0.0
